range,coverage_fraction
1,0.00000000
2,0.00000000
3,0.00000000
4,0.00000000
5,0.00000000
6,0.00000000
7,0.00000000
8,0.00000000
9,0.00000000
10,0.00000000
11,0.00000000
12,0.00000000
13,0.00000000
14,0.00000000
15,0.00000000
16,0.00000000
17,0.00000000
18,0.00000000
19,0.00000000
20,0.00000000
21,0.00000000
22,0.00000000
23,0.00000000
24,0.00000000
25,0.00000000
26,0.00000000
27,0.00000000
28,0.00000000
29,0.00000000
30,0.00000000
31,0.00000000
32,0.00000000
33,0.00000000
34,0.00000000
35,0.00000000
36,0.00856208
37,0.01689313
38,0.02204011
39,0.02598695
40,0.02844704
41,0.03045441
42,0.03151627
43,0.03251312
44,0.03346235
45,0.03438450
46,0.03530483
47,0.03622554
48,0.04012013
49,0.04134393
50,0.04257310
51,0.04375108
52,0.04636562
53,0.04132477
54,0.04224599
55,0.04312210
56,0.04396308
57,0.04477578
58,0.04556513
59,0.04633480
60,0.04708764
61,0.05477711
62,0.05606914
63,0.05742604
64,0.05872215
65,0.06033581
66,0.06133136
67,0.06317937
68,0.06371747
69,0.06503796
70,0.06688576
71,0.06763717
72,0.06906282
73,0.07053797
74,0.07141054
75,0.06167089
76,0.06221631
77,0.06290120
78,0.06355167
79,0.06427780
80,0.06487353
81,0.06554279
82,0.06618307
83,0.06684549
84,0.06750408
85,0.08351820
86,0.08429682
87,0.08504037
88,0.08581600
89,0.08653132
90,0.08728757
91,0.08803035
92,0.08875632
93,0.08949222
94,0.09023343
95,0.09098709
96,0.09171255
97,0.09241666
98,0.09387031
99,0.09501979
100,0.09595477
101,0.09682909
102,0.09433301
103,0.09252859
104,0.09193635
105,0.09164878
106,0.09289619
107,0.09374601
108,0.09443762
109,0.09521270
110,0.09594136
111,0.09660738
112,0.13689979
113,0.13796126
114,0.13902731
115,0.14000760
116,0.14075695
117,0.14172214
118,0.14260779
119,0.14352113
120,0.14445541
121,0.14539760
122,0.14595900
123,0.14691627
124,0.14797563
125,0.14974396
126,0.15080204
127,0.15168453
128,0.14940679
129,0.14911983
130,0.14866784
131,0.14959050
132,0.15054654
133,0.15024368
134,0.15131944
135,0.15190553
136,0.15180588
137,0.15190384
138,0.15211618
139,0.15249292
140,0.15340244
141,0.15429232
142,0.16002480
143,0.16109581
144,0.16213114
145,0.16313515
146,0.16411226
147,0.16506571
148,0.16990939
149,0.17036640
