range,optimal_x,optimal_y
1,763.5867,542.7630
2,828.0424,608.4901
3,828.0424,608.4901
4,931.1516,454.7590
5,931.1516,454.7590
6,628.2947,111.5766
7,642.7306,152.7878
8,907.0200,490.9246
9,907.0200,490.9246
10,907.0200,490.9246
11,841.8777,648.3840
12,841.8777,648.3840
13,822.1059,604.0377
14,822.1059,604.0377
15,931.2841,447.3395
16,931.2841,447.3395
17,622.4766,106.9706
18,622.4766,106.9706
19,641.0961,160.0262
20,641.0961,160.0262
21,641.0961,160.0262
22,641.0961,160.0262
23,771.9096,555.9978
24,771.9096,555.9978
25,839.7788,663.0761
26,839.7788,663.0761
27,839.7788,663.0761
28,839.7788,663.0761
29,839.7788,663.0761
30,839.7788,663.0761
31,839.7788,663.0761
32,839.7788,663.0761
33,839.7788,663.0761
34,839.7788,663.0761
35,839.7788,663.0761
36,770.3845,653.1538
37,770.3819,653.1720
38,770.3831,653.1641
39,770.3869,653.1366
40,770.3899,653.1160
41,770.3855,653.1430
42,770.3773,653.1894
43,770.3722,653.2134
44,770.3378,653.4244
45,769.0652,653.6005
46,767.8617,653.7197
47,766.3292,653.6652
48,564.4687,158.2633
49,563.6240,158.5072
50,562.7047,159.0997
51,561.7291,159.0978
52,559.4467,155.8974
53,771.9209,653.3437
54,771.9209,653.3437
55,771.9209,653.3437
56,771.9209,653.3437
57,771.9209,653.3437
58,771.9209,653.3437
59,771.9209,653.3437
60,771.9209,653.3437
61,751.2448,659.6451
62,750.1970,659.4796
63,748.9060,658.7251
64,747.6787,658.5884
65,745.7997,656.0546
66,745.1605,657.4530
67,742.9081,652.8802
68,742.9903,657.0030
69,741.6662,656.1886
70,739.6634,652.4777
71,739.2374,654.3288
72,737.7839,652.9768
73,736.3681,651.1233
74,735.6652,652.1726
75,684.3292,751.0588
76,683.6167,752.9239
77,685.0140,753.1768
78,685.9099,753.4720
79,688.0504,752.5887
80,688.1844,753.9669
81,689.5610,754.1542
82,690.4410,754.4204
83,691.8045,754.5683
84,693.1617,754.7001
85,727.4549,635.4798
86,726.7085,634.6151
87,726.1748,633.6393
88,725.5366,632.4551
89,725.1265,631.4418
90,724.4629,630.4333
91,723.8863,629.3370
92,723.3890,628.2223
93,722.6971,627.3857
94,721.3566,628.0366
95,720.5639,627.0928
96,719.8816,626.2514
97,719.5088,625.1059
98,721.3274,620.2090
99,722.9148,616.1252
100,724.2811,613.0095
101,725.1820,610.0783
102,735.6482,624.0013
103,740.3745,629.8703
104,742.8926,632.1928
105,744.9261,633.7782
106,744.2701,633.2862
107,744.2701,633.2862
108,721.1240,671.4230
109,721.1240,671.4230
110,721.1240,671.4230
111,721.1240,671.4230
112,582.3115,281.4572
113,581.9785,279.8393
114,581.8082,278.2708
115,581.3571,276.6062
116,576.7795,271.6052
117,577.1261,270.6947
118,576.4291,268.9244
119,576.2208,267.5461
120,575.9769,266.0482
121,576.1860,264.9938
122,573.6376,262.1267
123,573.9985,261.1657
124,573.8885,259.7706
125,574.4558,258.9042
126,574.5043,258.8317
127,574.4990,258.8370
128,571.6111,261.7921
129,570.5572,262.8707
130,569.3824,264.0726
